"","Type","Degree","Betweenness","Closeness"
"414","Sample Seed 2",1,0,2.14681648583316e-06
"415","Sample Seed 2",1,0,2.14681648583316e-06
"416","Sample Seed 2",1,0,2.14681648583316e-06
"417","Sample Seed 2",1,0,2.14681648583316e-06
"418","Sample Seed 2",1,0,2.14681648583316e-06
"419","Sample Seed 2",1,0,2.14681648583316e-06
"420","Sample Seed 2",1,0,2.14681648583316e-06
"421","Sample Seed 2",1,0,2.14681648583316e-06
"422","Sample Seed 2",2,0,2.14681648583316e-06
"423","Sample Seed 2",1,0,2.14681648583316e-06
"424","Sample Seed 2",1,0,2.14681648583316e-06
"425","Sample Seed 2",1,0,2.14681648583316e-06
"426","Sample Seed 2",1,0,2.14681648583316e-06
"427","Sample Seed 2",1,0,2.14681648583316e-06
"428","Sample Seed 2",1,0,2.14681648583316e-06
"429","Sample Seed 2",1,0,2.14681648583316e-06
"430","Sample Seed 2",1,0,2.14681648583316e-06
"431","Sample Seed 2",1,0,2.14681648583316e-06
"432","Sample Seed 2",1,0,2.14681648583316e-06
"433","Sample Seed 2",1,0,2.14681648583316e-06
"434","Sample Seed 2",1,0,2.14681648583316e-06
"435","Sample Seed 2",1,0,2.14681648583316e-06
"436","Sample Seed 2",1,0,2.14681648583316e-06
"437","Sample Seed 2",1,0,2.14681648583316e-06
"438","Sample Seed 2",1,0,2.14681648583316e-06
"439","Sample Seed 2",1,0,2.14681648583316e-06
"440","Sample Seed 2",1,0,2.14681648583316e-06
"441","Sample Seed 2",1,0,2.14681648583316e-06
"442","Sample Seed 2",1,0,2.14681648583316e-06
"443","Sample Seed 2",1,0,2.14681648583316e-06
"444","Sample Seed 2",1,0,2.14681648583316e-06
"445","Sample Seed 2",1,0,2.14681648583316e-06
"446","Sample Seed 2",1,0,2.14681648583316e-06
"447","Sample Seed 2",1,0,2.14681648583316e-06
"448","Sample Seed 2",1,0,2.14681648583316e-06
"449","Sample Seed 2",1,0,2.14681648583316e-06
"450","Sample Seed 2",1,0,2.14681648583316e-06
"451","Sample Seed 2",1,0,2.14681648583316e-06
"452","Sample Seed 2",1,0,2.14681648583316e-06
"453","Sample Seed 2",1,0,2.14681648583316e-06
"454","Sample Seed 2",1,0,2.14681648583316e-06
"455","Sample Seed 2",1,0,2.14681648583316e-06
"456","Sample Seed 2",1,0,2.14681648583316e-06
"457","Sample Seed 2",1,0,2.14681648583316e-06
"458","Sample Seed 2",1,0,2.14681648583316e-06
"459","Sample Seed 2",1,0,2.14681648583316e-06
"460","Sample Seed 2",1,0,2.14681648583316e-06
"461","Sample Seed 2",1,0,2.14681648583316e-06
"462","Sample Seed 2",1,0,2.14681648583316e-06
"463","Sample Seed 2",1,0,2.14681648583316e-06
"464","Sample Seed 2",1,0,2.14681648583316e-06
"465","Sample Seed 2",1,0,2.14681648583316e-06
"466","Sample Seed 2",1,0,2.14681648583316e-06
"467","Sample Seed 2",1,0,2.14681648583316e-06
"468","Sample Seed 2",1,0,2.14681648583316e-06
"469","Sample Seed 2",1,0,2.14681648583316e-06
"470","Sample Seed 2",1,0,2.14681648583316e-06
"471","Sample Seed 2",1,0,2.14681648583316e-06
"472","Sample Seed 2",1,0,2.14681648583316e-06
"473","Sample Seed 2",1,0,2.14681648583316e-06
"474","Sample Seed 2",1,0,2.14681648583316e-06
"475","Sample Seed 2",1,0,2.14681648583316e-06
"476","Sample Seed 2",1,0,2.14681648583316e-06
"477","Sample Seed 2",1,0,2.14681648583316e-06
"478","Sample Seed 2",1,0,2.14681648583316e-06
"479","Sample Seed 2",1,0,2.14681648583316e-06
"480","Sample Seed 2",1,0,2.14681648583316e-06
"481","Sample Seed 2",1,0,2.14681648583316e-06
"482","Sample Seed 2",1,0,2.14681648583316e-06
